pubmedid,title,abstract,pub_year
34523144,High-resolution analysis of the conformational transition of pro-apoptotic Bak at the lipid membrane.,"Permeabilization of the outer mitochondrial membrane by pore-forming Bcl2 proteins is a crucial step for the induction of apoptosis. Despite a large set of data suggesting global conformational changes within pro-apoptotic Bak during pore formation, high-resolution structural details in a membrane environment remain sparse. Here, we used NMR and HDX-MS (Hydrogen deuterium exchange mass spectrometry) in lipid nanodiscs to gain important high-resolution structural insights into the conformational changes of Bak at the membrane that are dependent on a direct activation by BH3-only proteins. Furthermore, we determined the first high-resolution structure of the Bak transmembrane helix. Upon activation, α-helix 1 in the soluble domain of Bak dissociates from the protein and adopts an unfolded and dynamic potentially membrane-bound state. In line with this finding, comparative protein folding experiments with Bak and anti-apoptotic BclxL suggest that α-helix 1 in Bak is a metastable structural element contributing to its pro-apoptotic features. Consequently, mutagenesis experiments aimed at stabilizing α-helix 1 yielded Bak variants with delayed pore-forming activity. These insights will contribute to a better mechanistic understanding of Bak-mediated membrane permeabilization.",2021
34493661,Lipids modulate the BH3-independent membrane targeting and activation of BAX and Bcl-xL.,"Regulation of apoptosis is tightly linked with the targeting of numerous Bcl-2 proteins to the mitochondrial outer membrane (MOM), where their activation or inhibition dictates cell death or survival. According to the traditional view of apoptotic regulation, BH3-effector proteins are indispensable for the cytosol-to-MOM targeting and activation of proapoptotic and antiapoptotic members of the Bcl-2 protein family. This view is challenged by recent studies showing that these processes can occur in cells lacking BH3 effectors by as yet to be determined mechanism(s). Here, we exploit a model membrane system that recapitulates key features of MOM to demonstrate that the proapoptotic Bcl-2 protein BAX and antiapoptotic Bcl-xL have an inherent ability to interact with membranes in the absence of BH3 effectors, but only in the presence of cellular concentrations of Mg",2021
34414459,Reactive oxygen species induced by uric acid promote NRK‑52E cell apoptosis through the NEK7‑NLRP3 signaling pathway.,"Increasing uric acid (UA) could induce renal tubular epithelial cell (NRK‑52E) injury. However, the specific mechanism by which UA induces renal tubular epithelial cell injury remains unknown. It was hypothesized that UA induces renal tubular epithelial cell injury through reactive oxygen species (ROS) and the Never in mitosis gene A (NIMA)‑related kinase 7 (NEK7)/NLR family pyrin domain containing 3 (NLRP3) signaling pathway. TUNEL assay and flow cytometry were applied to measure apoptosis, and the results of the present study showed that UA treatment induced apoptosis of NRK‑52E cells in a concentration‑dependent manner. Western blotting was performed to determine the expression levels of cleaved caspase‑3, Bax and Bcl‑xl, it was found that levels were significantly increased after UA treatment in NRK‑52E cells. ROS and apoptosis were predominantly induced in NRK‑52E cells and there was an association between ROS and apoptosis. Enhanced expression of NEK7, NLRP3, apoptosis‑associated speck‑like and caspase‑1 were observed in NRK‑52E cells treated with UA. The ROS inhibitor, N‑acetyl‑l‑cysteine, exerted a protective effect on the UA‑induced apoptosis of tubular epithelial cells by reducing excess ROS production, which significantly inhibited NEK7 and NLRP3 inflammasome activation. These results indicated that UA activates ROS and induces apoptosis of NRK‑52E cells. The mechanism might be related to the regulation of the NEK7/NLRP3 signaling pathway.",2021
34412690,Mutual regulation between chicken telomerase reverse transcriptase and the Wnt/β-catenin signalling pathway inhibits apoptosis and promotes the replication of ALV-J in LMH cells.,"This study aimed to explore the mutual regulation between chicken telomerase reverse transcriptase (chTERT) and the Wnt/β-catenin signalling pathway and its effects on cell growth and avian leukosis virus subgroup J (ALV-J) replication in LMH cells. First, LMH cells stably overexpressing the chTERT gene (LMH-chTERT cells) and corresponding control cells (LMH-NC cells) were successfully constructed with a lentiviral vector expression system. The results showed that chTERT upregulated the expression of β-catenin, Cyclin D1, TCF4 and c-Myc. chTERT expression level and telomerase activity were increased when cells were treated with LiCl. When the cells were treated with ICG001 or IWP-2, the activity of the Wnt/β-catenin signalling pathway was significantly inhibited, and chTERT expression and telomerase activity were also inhibited. However, when the β-catenin gene was knocked down by small interfering RNA (siRNA), the changes in chTERT expression and telomerase activity were consistent with those in cells treated with ICG001 or IWP-2. These results indicated that chTERT and the Wnt/β-catenin signalling pathway can be mutually regulated. Subsequently, we found that chTERT not only shortened the cell cycle to promote proliferation but also inhibited apoptosis by downregulating the expression of Caspase 3, Caspase 9 and BAX; upregulating BCL-2 and BCL-X expression; and promoting autophagy. Moreover, chTERT significantly enhanced the migration ability of LMH cells, upregulated the protein and mRNA expression of ALV-J and increased the virus titre. ALV-J replication promoted chTERT expression and telomerase activity.",2021
34381022,Importance of Bcl-2-family proteins in murine hematopoietic progenitor and early B cells.,"Mitochondrial apoptosis regulates survival and development of hematopoietic cells. Prominent roles of some Bcl-2-family members in this regulation have been established, for instance for pro-apoptotic Bim and anti-apoptotic Mcl-1. Additional, mostly smaller roles are known for other Bcl-2-members but it has been extremely difficult to obtain a comprehensive picture of the regulation of mitochondrial apoptosis in hematopoietic cells by Bcl-2-family proteins. We here use a system of mouse 'conditionally immortalized' lymphoid-primed hematopoietic progenitor (LMPP) cells that can be differentiated in vitro to pro-B cells, to analyze the importance of these proteins in cell survival. We established cells deficient in Bim, Noxa, Bim/Noxa, Bim/Puma, Bim/Bmf, Bax, Bak or Bax/Bak and use specific inhibitors of Bcl-2, Bcl-X",2021
34359829,ER+ Breast Cancer Strongly Depends on MCL-1 and BCL-xL Anti-Apoptotic Proteins.,"Breast cancer is the most frequent type of cancer and the major cause of mortality in women. The rapid development of various therapeutic options has led to the improvement of treatment outcomes; nevertheless, one-third of estrogen receptor (ER)-positive patients relapse due to cancer cell acquired resistance. Here, we use dynamic BH3 profiling (DBP), a functional predictive assay that measures net changes in apoptotic priming, to find new effective treatments for ER+ breast cancer. We observed anti-apoptotic adaptations upon treatment that pointed to metronomic therapeutic combinations to enhance cytotoxicity and avoid resistance. Indeed, we found that the anti-apoptotic proteins BCL-xL and MCL-1 are crucial for ER+ breast cancer cells resistance to therapy, as they exert a dual inhibition of the pro-apoptotic protein BIM and compensate for each other. In addition, we identified the AKT inhibitor ipatasertib and two BH3 mimetics targeting these anti-apoptotic proteins, S63845 and A-1331852, as new potential therapies for this type of cancer. Therefore, we postulate the sequential inhibition of both proteins using BH3 mimetics as a new treatment option for refractory and relapsed ER+ breast cancer tumors.",2021
34354046,"Gemcitabine and APG-1252, a novel small molecule inhibitor of BCL-2/BCL-XL, display a synergistic antitumor effect in nasopharyngeal carcinoma through the JAK-2/STAT3/MCL-1 signaling pathway.","Advanced nasopharyngeal carcinoma (NPC) has a poor prognosis, with an unfavorable response to palliative chemotherapy. Unfortunately, there are few effective therapeutic regimens. Therefore, we require novel treatment strategies with enhanced efficacy. The present study aimed to investigate the antitumor efficacy of APG-1252-M1, a dual inhibitor of BCL-2/BCL-XL, as a single agent and combined with gemcitabine. We applied various apoptotic assays and used subcutaneous transplanted NPC model to assess the in vitro and in vivo antitumor activity. Moreover, phospho-tyrosine kinase array was used to investigate the combined therapy's potential synergistic mechanism. In addition, further validation was performed using immunohistochemistry and western blotting. In vitro, we observed that APG-1252-M1 had moderate antitumor activity toward NPC cells; however, it markedly improved gemcitabine's ability to promote NPC cell apoptosis and suppress invasion, migration, and proliferation. Specifically, APG-1252 plus gemcitabine exhibited even remarkable antitumor activity in vivo. Mechanistically, the drug combination synergistically suppressed NPC by activating caspase-dependent pathways, blocking the phospho (p)-JAK-2/STAT3/MCL-1 signaling pathway, and inhibiting epithelial-mesenchymal transition. In conclusion, the results indicated that the combination of APG-1252 and gemcitabine has synergistic anticancer activities against NPC, providing a promising treatment modality for patients with NPC.",2021
34351305,Dual inhibition of FGFR4 and BCL-xL inhibits multi-resistant ovarian cancer with BCL2L1 gain.,"Overexpression of BCL2L1 (BCL-xL) was associated with platinum resistance in ovarian cancer (OvCa). However, role of copy number (CN) gain of BCL2L1 in OvCa remains elusive.",2021
34329950,A combinatorial drug screen in PDX-derived primary rhabdomyosarcoma cells identifies the NOXA - BCL-XL/MCL-1 balance as target for re-sensitization to first-line therapy in recurrent tumors.,"First-line therapy for most pediatric sarcoma is based on chemotherapy in combination with radiotherapy and surgery. A significant number of patients experience drug resistance and development of relapsed tumors. Drugs that have the potential to re-sensitize relapsed tumor cells toward chemotherapy treatment are therefore of great clinical interest. Here, we used a drug profiling platform with PDX-derived primary rhabdomyosarcoma cells to screen a large drug library for compounds re-sensitizing relapse tumor cells toward standard chemotherapeutics used in rhabdomyosarcoma therapy. We identified ABT-263 (navitoclax) as most potent compound enhancing general chemosensitivity and used different pharmacologic and genetic approaches in vitro and in vivo to detect the NOXA-BCL-XL/MCL-1 balance to be involved in modulating drug response. Our data therefore suggests that players of the intrinsic mitochondrial apoptotic cascade are major targets for stimulation of response toward first-line therapies in rhabdomyosarcoma.",2021
34328201,Prevention of streptozotocin‑induced Neuro‑2a cell death by C8‑B4 microglia transformed with repetitive low‑dose lipopolysaccharide.,"Diabetes‑associated neuronal dysfunction (DAND) is one of the serious complications of diabetes, but there is currently no remedy for it. Streptozotocin [2‑deoxy‑2‑(3‑methy1‑3‑nitrosoureido) D‑glucopyranose; STZ] is one of the most well‑established diabetes inducers and has been used ",2021
34315852,Super-resolution microscopy reveals that Na,Activation of the apoptotic pathway is a major cause of progressive loss of function in chronic diseases such as neurodegenerative and diabetic kidney diseases. There is an unmet need for an anti-apoptotic drug that acts in the early stage of the apoptotic process. The multifunctional protein Na,2021
34298038,"Dihydrocapsaicin effectively mitigates cerebral ischemia-induced pathological changes in vivo, partly via antioxidant and anti-apoptotic pathways.","Ischemic stroke occurs when there is a sudden blockage of cerebral blood flow. This condition is a major cause of mortality, especially in low-income countries, and its incidence is dramatically increasing. Therapeutic strategies against stroke are therefore required. The present study explored the effects of dihydrocapsaicin on neuronal loss, brain infarct volume, and antioxidants in a rat model of permanent occlusion of the right middle cerebral artery (Rt.MCAO).",2021
34237892,Correction: Steroid hormones induce bcl-X gene expression through direct activation of distal promoter P4.,Abstract not available,2021
34237891,Correction: Promoter choice influences alternative splicing and determines the balance of isoforms expressed from the Mouse bcl-X gene.,Abstract not available,2021
34209035,RAB38 Facilitates Energy Metabolism and Counteracts Cell Death in Glioblastoma Cells.,"Glioblastoma is a high-grade glial neoplasm with a patient survival of 12-18 months. Therefore, the identification of novel therapeutic targets is an urgent need. RAB38 is a GTPase protein implicated in regulating cell proliferation and survival in tumors. The role of RAB38 in glioblastoma is relatively unexplored. Here, we test the hypothesis that RAB38 regulates glioblastoma growth using human glioblastoma cell lines. We found that genetic interference of RAB38 resulted in a decrease in glioblastoma growth through inhibition of proliferation and cell death induction. Transcriptome analysis showed that RAB38 silencing leads to changes in genes related to mitochondrial metabolism and intrinsic apoptosis (e.g., Bcl-xL). Consistently, rescue experiments demonstrated that loss of RAB38 causes a reduction in glioblastoma viability through downregulation of Bcl-xL. Moreover, RAB38 knockdown inhibited both glycolysis and oxidative phosphorylation. Interference with RAB38 enhanced cell death induced by BH3-mimetics. RAB38 antagonists are under development, but not yet clinically available. We found that FDA-approved statins caused a rapid reduction in RAB38 protein levels, increased cell death, and phenocopied some of the molecular changes elicited by loss of RAB38. In summary, our findings suggest that RAB38 is a potential therapeutic target for glioblastoma treatment.",2021
34192540,Revealing molecular pathways for cancer cell fitness through a genetic screen of the cancer translatome.,"The major cap-binding protein eukaryotic translation initiation factor 4E (eIF4E), an ancient protein required for translation of all eukaryotic genomes, is a surprising yet potent oncogenic driver. The genetic interactions that maintain the oncogenic activity of this key translation factor remain unknown. In this study, we carry out a genome-wide CRISPRi screen wherein we identify more than 600 genetic interactions that sustain eIF4E oncogenic activity. Our data show that eIF4E controls the translation of Tfeb, a key executer of the autophagy response. This autophagy survival response is triggered by mitochondrial proteotoxic stress, which allows cancer cell survival. Our screen also reveals a functional interaction between eIF4E and a single anti-apoptotic factor, Bcl-xL, in tumor growth. Furthermore, we show that eIF4E and the exon-junction complex (EJC), which is involved in many steps of RNA metabolism, interact to control the migratory properties of cancer cells. Overall, we uncover several cancer-specific vulnerabilities that provide further resolution of the cancer translatome.",2021
34182005,The interplay between apoptosis and cellular senescence: Bcl-2 family proteins as targets for cancer therapy.,"Cell death by apoptosis and permanent cell cycle arrest by senescence serve as barriers to the development of cancer. Chemotherapeutic agents not only induce apoptosis, they can also induce senescence known as therapy-induced senescence (TIS). There are, however, controversies whether TIS improves or worsens therapeutic outcome. Unlike apoptosis, which permanently removes cancer cells, senescent cells are metabolically active, and can contribute to tumor progression and relapse. If senescent cells are not cleared by the immune system or if cancer cells escape senescence, they may acquire resistance to apoptotic stimuli and become highly aggressive. Thus, there have been significant efforts in developing senolytics, drugs that target these pro-survival molecules to eliminate senescent cells. The anti-apoptotic Bcl-2 family proteins not only protect against cell death by apoptosis, but they also allow senescent cells to survive. While combining senolytics with chemotherapeutic drugs is an attractive approach, there are also limitations. Moreover, members of the Bcl-2 family have distinct effects on apoptosis and senescence. The purpose of this review article is to discuss recent literatures on how members of the Bcl-2 family orchestrate the interplay between apoptosis and senescence, and the challenges and progress in targeting these Bcl-2 family proteins for cancer therapy.",2022
34141086,"Structure-Based Design of A-1293102, a Potent and Selective BCL-X",BCL-X,2021
34126796,"Expression of Parkin, APC, APE1, and Bcl-xL in Colorectal Polyps.","Colorectal cancer can develop through molecular, chromosomal, and epigenetic cumulative changes that transform the normal intestinal epithelium into the colorectal polyps, called conventional adenomas (CAs) or serrated polyps (SPs), recognized as precursors of invasive colorectal neoplasia. These benign lesions need to explore the morphology, histological diagnosis, and biomarkers profile to accurately characterize lesions with potential for evolution to cancer. This study aimed to correlate the immunohistochemical expression of Parkin and Adenomatous Polyposis Coli (APC; tumor suppressors), Human Apurinic/Apyrimidinic endonuclease 1 (APE1), and B-cell lymphoma-extra-large (Bcl-xL; oncogenic proteins) in sporadic colorectal polyps with clinical, endoscopic, and diagnostic data. Immunohistochemical analysis was performed on tissue microarray samples of 306 polyps. Based on the Allred score, the expressions were graduated in the cytoplasm and nucleus of superficial and cryptic cells. There was higher Parkin nuclear expression (",2021
34118966,Aberrant Bcl-x splicing in cancer: from molecular mechanism to therapeutic modulation.,"Bcl-x pre-mRNA splicing serves as a typical example to study the impact of alternative splicing in the modulation of cell death. Dysregulation of Bcl-x apoptotic isoforms caused by precarious equilibrium splicing is implicated in genesis and development of multiple human diseases, especially cancers. Exploring the mechanism of Bcl-x splicing and regulation has provided insight into the development of drugs that could contribute to sensitivity of cancer cells to death. On this basis, we review the multiple splicing patterns and structural characteristics of Bcl-x. Additionally, we outline the cis-regulatory elements, trans-acting factors as well as epigenetic modifications involved in the splicing regulation of Bcl-x. Furthermore, this review highlights aberrant splicing of Bcl-x involved in apoptosis evade, autophagy, metastasis, and therapy resistance of various cancer cells. Last, emphasis is given to the clinical role of targeting Bcl-x splicing correction in human cancer based on the splice-switching oligonucleotides, small molecular modulators and BH3 mimetics. Thus, it is highlighting significance of aberrant splicing isoforms of Bcl-x as targets for cancer therapy.",2021
34111459,"Bcl-xL expression and regulation in the progression, recurrence, and cisplatin resistance of oral cancer.","Bcl-xL is an anti-apoptotic molecule, but its role in the progression and recurrent/ drug-resistant oral squamous cell carcinoma (OSCC) is poorly understood.",2021
34110176,Assessment of the Oral Delivery of a Myelin Basic Protein Gene Promoter with Antiapoptotic bcl-x,"Cyclo-(D-Trp-Tyr) peptide nanotubes (PNTs) were reported to be potential carriers for oral gene delivery in our previous study; however, the effect of the aspect ratio (AR) of these PNTs on gene delivery ",2021
34078661,Inhibiting the Inhibitors of Apoptosis: When Two Targets Are Better Than One.,In this issue of ,2021
34064109,Oxidative Stress-Induced Unscheduled CDK1-Cyclin B1 Activity Impairs ER-Mitochondria-Mediated Bioenergetic Metabolism.,"Targeting the activities of endoplasmic reticulum (ER)-mitochondrial-dependent metabolic reprogramming is considered one of the most promising strategies for cancer treatment. Here, we present biochemical subcellular fractionation, coimmunoprecipitation, gene manipulation, and pharmacologic evidence that induction of mitochondria-localized phospho (p)-cyclin dependent kinase 1 (CDK1) (Thr 161)-cyclin B1 complexes by apigenin in nasopharyngeal carcinoma (NPC) cells impairs the ER-mitochondrial bioenergetics and redox regulation of calcium (Ca",2021
34034094,Targeting NF-κB-dependent alkaliptosis for the treatment of venetoclax-resistant acute myeloid leukemia cells.,"Venetoclax is a highly selective BCL2 inhibitor widely used in the treatment of leukemia, especially chronic lymphocytic leukemia and acute myeloid leukemia (AML). However, long-term use of venetoclax may lead to secondary drug resistance, which constitutes an important obstacle to prolonging the duration of the therapeutic response. Here, we show that the acquired resistance to venetoclax in human AML cell lines depends on NF-κB activation rather than on the upregulation of anti-apoptotic BCL2L1 expression. Moreover, alkaliptosis induced by the small molecular compound JTC801, but not necroptosis and ferroptosis, inhibits the growth of venetoclax-resistant AML cells in vitro and in xenograft mouse models. Mechanistically, NF-κB-mediated CA9 downregulation is required for intracellular pH upregulation, thereby inducing alkaliptosis in venetoclax-resistant cells. These findings provide a new strategy to selectively remove venetoclax-resistant AML cells.",2021
33980597,Selective BCL-X,"HIV persists, despite immune responses and antiretroviral therapy, in viral reservoirs that seed rebound viremia if therapy is interrupted. Previously, we showed that the BCL-2 protein contributes to HIV persistence by conferring a survival advantage to reservoir-harboring cells. Here, we demonstrate that many of the BCL-2 family members are overexpressed in HIV-infected CD4",2021
33947634,Topology impacts TRAIL therapy: Differences in primary cancer growth and liver metastasis between orthotopic and subcutaneous xenotransplants of pancreatic ductal adenocarcinoma cells.,"To study novel treatment modalities for pancreatic ductal adenocarcinoma (PDAC), we need to transfer the knowledge from in vitro to in vivo. It is important to mirror the clinical characteristics of the typically local invasive growth of pancreatic cancer and the distant spread resulting in liver metastasis. Notably, for xenotransplant studies using human specimen, two models, i.e. subcutaneous (s.c.) and orthotopic (o.t.) transplantation are widely used.",2021
33939098,"Effects of Treadmill Exercise on the Expression Level of BAX, BAD, BCL-2, BCL-XL, TFAM, and PGC-1α in the Hippocampus of Thimerosal-Treated Rats.","Thimerosal (THIM) induces neurotoxic changes including neuronal death and releases apoptosis inducing factors from mitochondria to cytosol. THIM alters the expression level of factors involved in apoptosis. On the other hand, the anti-apoptotic effects of exercise have been reported. In this study, we aimed to discover the effect of three protocols of treadmill exercise on the expression level of mitochondrial transcription factor A (TFAM), peroxisome proliferator-activated receptor γ coactivator-1α (PGC-1α), BCL-2-associated death (BAD), BCL-2-associated X (BAX), BCL-XL, and BCL-2 (a pro-survival BCL-2 protein) in the hippocampus of control and THIM-exposed rats. Male Wistar rats were used in this research. Real-time PCR was applied to assess genes expression. The results showed that THIM increased the expression of pro-apoptotic factors (BAD and BAX), decreased the expression of anti-apoptotic factors (BCL-2 and BCL-XL), and decreased the expression of factors involved in mitochondrial biogenesis (TFAM and PGC-1α). Treadmill exercise protocols reversed the effect of THIM on all genes. In addition, treadmill exercise protocols decreased the expression of BAD and BAX, increased the expression of BCL-2, and increased the expression of TFAM and PGC-1α in control rats. In conclusion, THIM induced a pro-apoptotic effect and disturbed mitochondrial biogenesis and stability, whereas treadmill exercise reversed these effects.",2021
33931087,ZBTB28 induces autophagy by regulation of FIP200 and Bcl-XL facilitating cervical cancer cell apoptosis.,"Among the common preventable cancers of women, cervical cancer has the highest morbidity. It is curable if detected at an early stage. However, reliable diagnostic and prognostic markers, which relate to physiologic and pathologic regulation of cervical cancer, are not available. In this study, one such potential marker, ZBTB28, was evaluated for its potential usefulness in cervical cancer assessment.",2021
33924101,Leucine Reconstitutes Phagocytosis-Induced Cell Death in ,MΦ differentiate from circulating monocytes (Mo). The reduced ability of neonatal Mo to undergo apoptosis after ,2021
33917370,"GSK-3β Can Regulate the Sensitivity of MIA-PaCa-2 Pancreatic and MCF-7 Breast Cancer Cells to Chemotherapeutic Drugs, Targeted Therapeutics and Nutraceuticals.","Glycogen synthase kinase-3 (GSK-3) is a regulator of signaling pathways. KRas is frequently mutated in pancreatic cancers. The growth of certain pancreatic cancers is KRas-dependent and can be suppressed by GSK-3 inhibitors, documenting a link between KRas and GSK-3. To further elucidate the roles of GSK-3β in drug-resistance, we transfected KRas-dependent MIA-PaCa-2 pancreatic cells with wild-type (WT) and kinase-dead (KD) forms of GSK-3β. Transfection of MIA-PaCa-2 cells with WT-GSK-3β increased their resistance to various chemotherapeutic drugs and certain small molecule inhibitors. Transfection of cells with KD-GSK-3β often increased therapeutic sensitivity. An exception was observed with cells transfected with WT-GSK-3β and sensitivity to the BCL2/BCLXL ABT737 inhibitor. WT-GSK-3β reduced glycolytic capacity of the cells but did not affect the basal glycolysis and mitochondrial respiration. KD-GSK-3β decreased both basal glycolysis and glycolytic capacity and reduced mitochondrial respiration in MIA-PaCa-2 cells. As a comparison, the effects of GSK-3 on MCF-7 breast cancer cells, which have mutant ",2021
33910332,Synergistic interaction between HDAC and MCL-1 inhibitors through downregulation of BCL-XL in multiple myeloma.,Abstract not available,2021
33863900,Structural insight into the molecular mechanism of p53-mediated mitochondrial apoptosis.,"The tumor suppressor p53 is mutated in approximately half of all human cancers. p53 can induce apoptosis through mitochondrial membrane permeabilization by interacting with and antagonizing the anti-apoptotic proteins BCL-xL and BCL-2. However, the mechanisms by which p53 induces mitochondrial apoptosis remain elusive. Here, we report a 2.5 Å crystal structure of human p53/BCL-xL complex. In this structure, two p53 molecules interact as a homodimer, and bind one BCL-xL molecule to form a ternary complex with a 2:1 stoichiometry. Mutations at the p53 dimer interface or p53/BCL-xL interface disrupt p53/BCL-xL interaction and p53-mediated apoptosis. Overall, our current findings of the bona fide structure of p53/BCL-xL complex reveal the molecular basis of the interaction between p53 and BCL-xL, and provide insight into p53-mediated mitochondrial apoptosis.",2021
33859162,Malignant pleural mesothelioma co-opts BCL-X,"Escape from programmed cell death is a hallmark of cancer. In this study, we investigated the anti-apoptotic mechanisms and explored the therapeutic potential of BCL-2 homology domain-3 (BH3) mimetics in malignant pleural mesothelioma (MPM), a lethal thoracic malignancy with an extreme dearth of treatment options. By implementing integrated analysis of functional genomic data of MPM cells and quantitative proteomics of patients' tumors, we identified BCL-X",2021
33848145,Bcl-xL Dynamics under the Lens of Protein Structure Networks.,"Understanding the finely orchestrated interactions leading to or preventing programmed cell death (apoptosis) is of utmost importance in cancer research because the failure of these systems could eventually lead to the onset of the disease. In this regard, the maintenance of a delicate balance between the promoters and inhibitors of mitochondrial apoptosis is crucial, as demonstrated by the interplay among the Bcl-2 family members. In particular, B-cell lymphoma extra-large (Bcl-x",2021
33823136,An anterograde pathway for sensory axon degeneration gated by a cytoplasmic action of the transcriptional regulator P53.,"Axon remodeling through sprouting and pruning contributes to the refinement of developing neural circuits. A prominent example is the pruning of developing sensory axons deprived of neurotrophic support, which is mediated by a caspase-dependent (apoptotic) degeneration process. Distal sensory axons possess a latent apoptotic pathway, but a cell body-derived signal that travels anterogradely down the axon is required for pathway activation. The signaling mechanisms that underlie this anterograde process are poorly understood. Here, we show that the tumor suppressor P53 is required for anterograde signaling. Interestingly loss of P53 blocks axonal but not somatic (i.e., cell body) caspase activation. Unexpectedly, P53 does not appear to have an acute transcriptional role in this process and instead appears to act in the cytoplasm to directly activate the mitochondrial apoptotic pathway in axons. Our data support the operation of a cytoplasmic role for P53 in the anterograde death of developing sensory axons.",2021
33808549,Resistance to Cell Death in Mucinous Colorectal Cancer-A Review.,"Mucinous colorectal cancer (CRC) is estimated to occur in approximately 10-15% of CRC cases and is characterized by abundant extracellular mucin. Mucinous CRC is frequently associated with resistance to apoptosis. Inferior prognosis is observed in mucinous CRC, particularly in rectal cancer and metastatic cases. Mucins are heavily glycosylated secretory or transmembrane proteins that participate in protection of the colonic epithelium. MUC2 overexpression is a hallmark of mucinous CRCs. Mucinous CRC is associated with KRAS and BRAF mutation, microsatellite instability and the CpG island methylator phenotype. Mutations of the ",2021
33806619,Stroma-Mediated Resistance to S63845 and Venetoclax through MCL-1 and BCL-2 Expression Changes Induced by miR-193b-3p and miR-21-5p Dysregulation in Multiple Myeloma.,"BH3-mimetics targeting anti-apoptotic proteins such as MCL-1 (S63845) or BCL-2 (venetoclax) are currently being evaluated as effective therapies for the treatment of multiple myeloma (MM). Interleukin 6, produced by mesenchymal stromal cells (MSCs), has been shown to modify the expression of anti-apoptotic proteins and their interaction with the pro-apoptotic BIM protein in MM cells. In this study, we assess the efficacy of S63845 and venetoclax in MM cells in direct co-culture with MSCs derived from MM patients (pMSCs) to identify additional mechanisms involved in the stroma-induced resistance to these agents. MicroRNAs miR-193b-3p and miR-21-5p emerged among the top deregulated miRNAs in myeloma cells when directly co-cultured with pMSCs, and we show their contribution to changes in MCL-1 and BCL-2 protein expression and in the activity of S63845 and venetoclax. Additionally, direct contact with pMSCs under S63845 and/or venetoclax treatment modifies myeloma cell dependence on different BCL-2 family anti-apoptotic proteins in relation to BIM, making myeloma cells more dependent on the non-targeted anti-apoptotic protein or BCL-X",2021
33759122,Ligand-Receptor Interactions and Drug Design.,"In silico rational drug design is one of the major pylons in the drug discovery process. Drugs usually act on specific targets such as proteins, DNA, and lipid bilayers. Thus, molecular docking is an essential part of the rational drug design process. Molecular docking uses specific algorithms and scoring functions to reveal the strength of the interaction of the ligand to its target. AutoDock is a molecular docking suite that offers a variety of algorithms to tackle specific problems. These algorithms include Monte Carlo Simulated Annealing (SA), a Genetic Algorithm (GA), and a hybrid local search GA, also known as the Lamarckian Genetic Algorithm (LGA). This chapter aims to acquaint the reader with the docking process using AutoDockTools (GUI of AutoDock). Furthermore, herein is described the docking process of calf thymus DNA with three metal complexes, as a potential metallo-therapeutics as also the docking process of the plant flavonoid quercetin to the antiapoptotic protein BcL-xL.",2021
33755959,Chrysin inhibits propagation of HeLa cells by attenuating cell survival and inducing apoptotic pathways.,"Chrysin, one of the main active constituents of flavonoids, is known for demonstrating protective effects against various types of cancer including cervical cancer. The aim of this study was to determine apoptosis induction and antiproliferative action of chrysin on human cervical cancer cells.",2021
33737021,"Pyrazole (1, 2-diazole) induce apoptosis in lymphoma cells by targeting BCL-2 and BCL-XL genes and mitigate murine solid tumour development by regulating cyclin-D1 and Ki-67 expression.","Pyrazole or 1,2-Diazole is a five-membered heteroaromatic ring with two nitrogen atoms which is widely used in pharmacological research and organic synthesis. Several natural and synthetic pyrazole derivatives possess anti-cancer potential and some of them have underwent clinical trials. In this aspect, an investigation into the efficiency of the pyrazole nucleus to inhibit the growth and progression of various cancer cell lines/ experimental tumours would help in giving a better clarity to the anti-cancer behaviour of pyrazole containing drugs. This paper investigates the efficiency of pyrazole against Dalton's Lymphoma Ascites (DLA) cell line. Pyrazole inhibited the growth of DLA cells in vitro by committing them towards apoptosis. In vitro results were consistent in DLA induced murine solid tumour in vivo systems. Drug-treatment improved survival, reduced tumour loads, stabilized body weights and improved the haematological and serum biochemical parameters of DLA solid tumour bearing mice, thereby improving their overall survivability. Drug administration contained the aggravation of solid tumour by targeted downregulation of Cyclin-D1 and Ki-67. In addition, the mRNA expression levels of anti-apoptotic genes, BCL-2 and BCL-XL were downregulated in solid tumours, corroborating the in vitro results that pyrazole encourage apoptotic cell death in DLA cells. The new findings establish pyrazole as a potential anti-cancer drug candidate. The results must encourage future investigations into the efficacy of the drug against various cancer types.",2021
33669408,The Role of Bcl-xL Protein in Viral Infections.,"Bcl-xL represents a family of proteins responsible for the regulation of the intrinsic apoptosis pathway. Due to its anti-apoptotic activity, Bcl-xL co-determines the viability of various virally infected cells. Their survival may determine the effectiveness of viral replication and spread, dynamics of systemic infection, and viral pathogenesis. In this paper, we have reviewed the role of Bcl-xL in the context of host infection by eight different RNA and DNA viruses: hepatitis B virus (HBV), hepatitis C virus (HCV), human immunodeficiency virus (HIV), influenza A virus (IAV), Epstein-Barr virus (EBV), human T-lymphotropic virus type-1 (HTLV-1), Maraba virus (MRBV), Schmallenberg virus (SBV) and coronavirus (CoV). We have described an influence of viral infection on the intracellular level of Bcl-xL and discussed the impact of Bcl-xL-dependent cell survival control on infection-accompanying pathogenic events such as tissue damage or oncogenesis. We have also presented anti-viral treatment strategies based on the pharmacological regulation of Bcl-xL expression or activity.",2021
